title,upvotes
A Brigham Young University study of 80 newly formed teams found that groups that played video games together for just 45 minutes were 20 percent more productive than those that engaged in more traditional team-building exercises.,69
"AMA Tara Behrend, SIOP President-Elect, future of work researcher, professor at Purdue!",71
What is the impact of forcing employees to commute back to work after working from home?,68
20 years experience in corporate leadership training has taught me that 95% of it is a massive waste of money!,62
"Well, that's discouraging.",63
[OC] I/O Psychology Salary Before and After Adjustment for Cost Of Living by State,59
What are your unpopular IO Psych opinions?,58
Got a stack of grad school textbooks Im probably never gonna use again. Whats the best way to donate them?,57
"A Massive LinkedIn Study Reveals Who Actually Helps You Get That Job - Acquaintances, more than close friends, show the strength of weak ties when it comes to employment",53
Message to IO Students: Don't let imposter syndrome discourage you,50
How are we to create any good change when this is how people feel,51
Elon Musk scraps Twitters work from home policy,49
lmao what are IO psychologists thoughts on Micheal Scott,48
"Age, salary, years of experience and job satisfaction/work life balance? How many hours do you work per week? Whats your position?",47
IO psychology to the rescue!,46
ChatGPT on what we would be a good name for our field.,45
Data driven organizations,46
IO Psychology Articles that Everyone Should Read,41
What kind of person goes into IO?,40
SIOP COVID transmission,42
Gordon Ramsey inspired me to go into IO Psychology,40
Announcing the Beth E. Buchanan Graduate Student Scholarship Fund,38
Most Recent SIOP Income and Employment Survey,38
Amazons attrition costs $8 billion annually according to leaked documents. And it gets worse.,42
Walmart shooting raises need for violence prevention at work,42
"I really pissed off people at /r/recruiting by saying experience is not predictive of performance. Since they won't explain why, can someone here?",38
"Announcing upcoming AMA March 15h-16-17th at noon Tara Behrend, President-Elect of SIOP, future of work expert, and professor at Purdue!",36
Consulting billing?,36
Whats youre favorite IO topic from the movie Office Space (1999)?,34
Are we ever going to be able to change this?,32
"SIOP after action discussion. Share the good, bad, and memorable thoughts and experiences here.",34
"Interesting, startup meets corporate",34
"Professionals in Consulting, how did you start your career, where are you now, and where are your next career steps?",31
What burns you out in this field?,30
Suggestions for how to keep up with IO Psychology research? - Specifically meta-analysis and systematic literature reviews,32
How has a Ph.D in IO made a difference in your career compared to your Masters?,30
are you content with your io degree?,29
Is IO Psych inherently anti-labor? Why or why not?,29
The Rise of the Worker Productivity Score - automated worker tracking for the purposes of performance management,29
What's the most revolutionary paper in io-psych in the last year?,28
What is the latest in IO Psych? How do you keep yourself up to date with the latest research and news?,27
People Analytics?,27
Why does everyone hate The Chicago School of Professional Psychology?,29
Has anyone here transitioned from more traditional IO Psych work to UX Research?,28
How to get into Consulting (Human Capital and Organizational Development),26
Wage gap&,25
Job board specifically for I/O Psychology,25
I/O Podcast,24
"Vox article: ""Job interviews are a nightmare  and only getting worse""",26
How many people here are consultants without a Mba or a Ph.D. degree?,25
Is there any scientific proof that personality and cognitive tests work for recruitment?,25
"Under new WHS laws, Australian employers will have an active duty to protect workers from psychological injury",25
"Free virtual conference for undergraduate students interested in obtaining a PhD in I/O, hosted by SIOP on Nov. 7th and 8th. Save the date!",25
I have an interview as a Talent Assessment Consultant and was hoping for some pointers.,24
Breaking into I/O Psychology with a BA in Psychology,25
I know this question may sound a little dumb but what do you do everyday in the office?,26
Most Respected/Top IO Psych Programs?,25
Starting salary with a masters in I/O?,24
Do I/O Psych PhD programs suck your lifeblood?,24
Expectations vs Reality?,25
Is there research around optimal amounts of PTO for employees to take?,24
Good to see some more light shined on PA outside of the I/O space. Thoughts on this description?,23
Ethical leadership in workplace settings can cause narcissists to become angry and withdraw: Study finds that anger is the mediator between those with narcissistic personality traits experiencing ethical leadership and their subsequent withdrawal.,23
My job not only wants me to create a training which no needs analysis was done for but also wants me to just come up with a quiz for the end of it,24
What skills can I add to become more employable?,23
What is the highest paying jobs in IO Psychology?,23
"I/Os on an island who eventually built your own team, how did you do it?",22
I/O career down the drain,23
Digital Nomads,24
Disappointing Job Search,23
Interesting New TIP Article: I-O and HR: Does HR Know About Us? (***Spoilers**** Nope),22
The psychology of layoffs,21
People Analytics / HR data analytics question,21
HR Data Analytics / People Analytics Certifications?,22
How much do I have to like the I side to realistically enjoy working in IO? Am I considering IO for the right reasons?,22
What do you think are the challenges that I/O psychologists are currently facing?,21
What's your personal shortlist of companies that you'd like to work for? What makes them interesting to you?,22
Python and R courses online,22
Do you do Org Development / Org Effectiveness Work?,22
RStudio is rebranding to Posit in an effort to expand beyond the R community,23
Are there studies on work speak/the common lying that goes on?,22
Remote work posts: an evidence-based reviews,21
Does something like the O*NET exist in other countries?,22
what do your jobs consist of daily?,23
Hello everyone! I did a psychometric test for a company. I googled it but can't find it. I had to draw straight lines (of a character size) and as many as possible during 1min intervals by 5min. Does anyone know what the test is called or what it is for? I attach an example.,22
Jobs in I/O,22
The DSM of I-O Psychology,22
How do you find companies to work for outside of job boards like LinkedIn/Indeed?,21
Four-day week: major breakthrough as most UK firms in trial extend changes,20
How will ChatGPT hurt our field? How will it help it?,22
"America, we have a problem. People aren't feeling engaged with their work",21
Youre an I/O psychologist on a quest to save the world.,20
What are some interesting topics you think should be researched nowadays in the IOPsychology field?,20
What ethical problems have you encountered in your career?,20
Are there companies which most IO Psychologists strive to work in?,20
Been having trouble finding a job right after getting my Masters,21
I-O to business analyst career path?,22
What Excel skills are most important to know for a career in this field?,20
